,id,shiqu,总价,均价,面积,小区,样本数量
179,1782.529412,1,72.27058824,12513.29412,57.75647059,保定卷烟厂生活区A区,17
40,8882.5,3,86.83333333,12493.83333,69.525,三中分校宿舍,6
918,1704.641509,1,93.47358491,12479.30189,75.07226415,红星小区,53
868,5798.52381,2,105.347619,12470.7619,84.74761905,秀兰康欣园北区,21
512,7902.153846,3,102.8461538,12470.30769,82.30769231,市三医院生活区(东院),13
633,5564.039216,2.284313725,134.6544118,12461.48529,104.5298039,朝阳首府,204
87,8825.965517,3,89.18448276,12445.24138,71.7137931,中华小区一区,58
89,8757.958333,3,77.45833333,12396.625,62.42583333,中华小区二区,24
82,8020.777778,3,72.62222222,12395.22222,58.58888889,东进巷小区,9
761,5463.333333,2,67.35555556,12390.33333,54.55555556,灶具厂宿舍,9
863,1299.347826,1,154.1173913,12371.13043,125.4173913,秀兰家园,23
151,5491.833333,2,70.56666667,12366.91667,57.24333333,京电北院,12
535,1784.571429,1,95.8,12363.14286,77.07285714,干休所宿舍,7
785,8919.153846,3,76.89230769,12359.69231,62.17307692,琅瑚街小区,13
91,7578.777778,3,100.7777778,12353.05556,83.86111111,中华小区四区,18
674,2185.727273,1,71.25454545,12337.09091,57.45454545,植保所宿舍,11
731,8181.222222,3,93.73333333,12330,77.07555556,法院宿舍(红阳大街),9
787,8943.857143,3,65.07142857,12329,52.78571429,瑞祥大街121号院,7
284,5031.708333,2.083333333,67.175,12326.29167,54.8025,化纤西区,24
617,5045,2,120.0463415,12314.68293,98.04585366,晨巍佳欣二期,41
694,1579.875,1,122.225,12296.125,98.3775,气象小区,8
797,1527.769231,1,74.26923077,12294.46154,60.37923077,电业局宿舍,13
214,8490,3,87.1,12266,70.8275,保运宿舍,20
959,5213.692308,2,116.1153846,12219.84615,95.96461538,花园里菊园,13
23,6523.361111,2.388888889,103.45,12214.22222,79.80083333,万和城A区,36
714,11400.75,4,63.7,12213.75,52.1625,汇博上谷大观,8
1089,4412.5,2,140.1666667,12187.83333,115.32,长城公寓,6
349,8833.339623,3,90.00188679,12186.24528,72.98226415,双彩小区,53
1099,5709.826087,2.086956522,157.9565217,12172.73913,126.7691304,阳光水岸,23
496,2257,1.230769231,67.10769231,12166.84615,55.15384615,工人宿舍,13
519,6425.181818,2.636363636,117.2272727,12166.36364,96.34545455,市政宿舍,11
794,5426.846154,2,70.15384615,12158.15385,57.83153846,田野宿舍,13
1081,4787.9,2,81.3,12153.7,66.8,铸机厂宿舍,10
450,6826.833333,2.333333333,161,12146.66667,128.2816667,天平小区,6
103,5992.863158,2.273684211,68.29315789,12144.77895,58.122,中诚碧桂园璟公馆,95
734,6156.071429,2,107.7357143,12130.28571,88.605,洪恩尚品,14
624,8568.5,3,78.8,12121.33333,65.83333333,普庆路金专宿舍,6
1043,8708.241379,3,111.1241379,12099.06897,92.61344828,金昌小区,29
1100,6754.607477,2.504672897,125.2906542,12088.66355,102.3569159,阳光盛景,107
870,5706.466667,2,124.24,12077.2,102.9086667,秀兰康泽园北区,15
118,1016.083333,1,68.71666667,12076.5,56.90916667,九三宿舍,12
954,5153.704545,2,97.48181818,12013.18182,81.40909091,花园里兰园,44
1039,1825.967742,1,115.7645161,12004.3871,96.56935484,金丰花园,31
296,7725.818182,3,127.5090909,12004.18182,108.5090909,北河沿156号院,11
733,4817.625,2,117.75,11999.375,96.75,泰和花园,8
869,5159.269841,2,126.7285714,11997.53968,106.2601587,秀兰康欣园南区,63
770,5181.8,2,70.5,11953.3,59.1,燃料总公司宿舍,10
974,8543.277778,3.074074074,114.2796296,11950.14815,95.35888889,荣联天下城,54
531,8562.684211,3,66.35789474,11940.21053,55.66315789,市粮食局宿舍,19
991,1601.62069,1,98.97586207,11934.89655,83.29034483,裕丰家园东区,29
1014,8597,3,148.875,11932.75,125.0216667,豪景铭居,12
955,4841.871795,2,77.47521368,11928.17949,65.52641026,花园里小区,117
348,8303.192771,3,68.32891566,11923.31325,57.34168675,双井小区,83
595,8316.543478,3,70.4326087,11905.97826,59.34717391,新华村小区,46
543,9555.142857,3,127.6857143,11895.57143,106.4985714,康居三期,7
1041,1291.515152,1,66.99090909,11881.21212,56.45560606,金叶小区,66
393,1669.333333,1,92.69444444,11870,78.38944444,四中宿舍,18
229,6061.375,2.25,108.975,11868.125,92.025,光明小区,8
277,1492.7,1,66.7,11830,56.43,劳技校宿舍,10
381,8145.666667,3,71.6,11823.46667,60.36666667,和平里电业局宿舍,15
979,1879.285714,1,70.58095238,11812.52381,60.11333333,莲池南大街西区,21
150,9679.833333,3,95.94166667,11811.33333,81.3,京源柳郡,12
415,7804.166667,3,110.8333333,11789.16667,94.16666667,土地局宿舍(双彩街),6
